Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,strain,run_center (run),run_machine_id (run),AssemblyName,source_of_DNA,read_mask (run)
SRR018596,WGS,75,415352250,PRJNA36679,SAMN00014261,291468826,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006303,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-07T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,10
SRR018597,WGS,75,501006300,PRJNA36679,SAMN00014261,356409131,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006303,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-07T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,10
SRR018598,WGS,90,82710630,PRJNA36679,SAMN00014262,32489395,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-07T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018599,WGS,90,886906080,PRJNA36679,SAMN00014262,425122289,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018600,WGS,150,1748961750,PRJNA36679,SAMN00014262,1109580884,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018601,WGS,150,1938253500,PRJNA36679,SAMN00014262,1182275846,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-21T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018602,WGS,90,910875870,PRJNA36679,SAMN00014262,452636439,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-08-20T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018603,WGS,75,765929325,PRJNA36679,SAMN00014262,476406579,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006305,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-07T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,10
SRR029943,WGS,45,405259470,PRJNA36679,SAMN00014257,275048629,BCM,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006283,Illumina Genome Analyzer,IWG_DGRP.DMEL.AL_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-11-23T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,,,,
SRR034249,WGS,525,729228666,PRJNA36679,SAMN00014230,1651941415,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015855,454 GS FLX Titanium,4WG_DMEL.AE_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-22T00:00:00Z,SAMN00014230,SRP000694,DGRP-306,BCM,FLX10070252,,,
SRR034250,WGS,534,746940983,PRJNA36679,SAMN00014230,1701059468,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015855,454 GS FLX Titanium,4WG_DMEL.AE_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,SAMN00014230,SRP000694,DGRP-306,BCM,FLX10070257,,,
SRR034251,WGS,525,758047705,PRJNA36679,SAMN00014230,1707685907,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015855,454 GS FLX Titanium,4WG_DMEL.AE_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,SAMN00014230,SRP000694,DGRP-306,BCM,FLX02090497,,,
SRR034252,WGS,540,724613885,PRJNA36679,SAMN00014230,1647218837,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015855,454 GS FLX Titanium,4WG_DMEL.AE_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,SAMN00014230,SRP000694,DGRP-306,BCM,FLX09070242,,,
SRR034253,WGS,537,729279804,PRJNA36679,SAMN00014255,1630396702,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015856,454 GS FLX Titanium,4WG_DMEL.AG_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,FLX09070240,,,
SRR034254,WGS,540,772761995,PRJNA36679,SAMN00014255,1778511319,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015856,454 GS FLX Titanium,4WG_DMEL.AG_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,FLX10070254,,,
SRR034255,WGS,528,769510090,PRJNA36679,SAMN00014255,1749190552,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015856,454 GS FLX Titanium,4WG_DMEL.AG_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,FLX10070252,,,
SRR034256,WGS,530,704760656,PRJNA36679,SAMN00014255,1591049811,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015856,454 GS FLX Titanium,4WG_DMEL.AG_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,FLX09070240,,,
SRR034264,WGS,545,665397663,PRJNA36679,SAMN00014254,1503991922,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015860,454 GS FLX Titanium,4WG_DMEL.AF_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP307,SRP000694,DGRP-307,BCM,FLX10070254,,,
SRR034265,WGS,545,655720535,PRJNA36679,SAMN00014254,1482511982,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015860,454 GS FLX Titanium,4WG_DMEL.AF_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP307,SRP000694,DGRP-307,BCM,FLX10070252,,,
SRR034266,WGS,574,781580279,PRJNA36679,SAMN00014254,1756680239,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015860,454 GS FLX Titanium,4WG_DMEL.AF_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP307,SRP000694,DGRP-307,BCM,FLX10070254,,,
SRR034267,WGS,540,681416211,PRJNA36679,SAMN00014254,1552258055,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015860,454 GS FLX Titanium,4WG_DMEL.AF_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP307,SRP000694,DGRP-307,BCM,FLX08070217,,,
SRR034268,WGS,551,618550881,PRJNA36679,SAMN00014254,1384214790,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015860,454 GS FLX Titanium,4WG_DMEL.AF_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP307,SRP000694,DGRP-307,BCM,FLX09070240,,,
SRR034274,WGS,545,687022010,PRJNA36679,SAMN00014257,1568561828,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015862,454 GS FLX Titanium,4WG_DMEL.AL_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,FLX08070217,,,
SRR034275,WGS,552,694944189,PRJNA36679,SAMN00014257,1568045104,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015862,454 GS FLX Titanium,4WG_DMEL.AL_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,FLX10070252,,,
SRR034276,WGS,555,696990563,PRJNA36679,SAMN00014257,1572766766,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015862,454 GS FLX Titanium,4WG_DMEL.AL_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,FLX09070238,,,
SRR034277,WGS,540,600889835,PRJNA36679,SAMN00014257,1353503841,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015862,454 GS FLX Titanium,4WG_DMEL.AL_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,FLX09070238,,,
SRR034278,WGS,554,622188983,PRJNA36679,SAMN00014257,1399880112,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015862,454 GS FLX Titanium,4WG_DMEL.AL_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,FLX09070242,,,
SRR034279,WGS,524,689463271,PRJNA36679,SAMN00014259,1570493864,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015863,454 GS FLX Titanium,4WG_DMEL.AO_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,FLX10070257,,,
SRR034280,WGS,562,795169266,PRJNA36679,SAMN00014259,1795581732,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015863,454 GS FLX Titanium,4WG_DMEL.AO_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,FLX01070128,,,
SRR034281,WGS,540,322242653,PRJNA36679,SAMN00014259,747655383,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015863,454 GS FLX Titanium,4WG_DMEL.AO_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,FLX10070254,,,
SRR034282,WGS,528,721824243,PRJNA36679,SAMN00014259,1669583381,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015863,454 GS FLX Titanium,4WG_DMEL.AO_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,FLX10070254,,,
SRR034283,WGS,534,704563570,PRJNA36679,SAMN00014259,1596166072,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015863,454 GS FLX Titanium,4WG_DMEL.AO_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,FLX01070124,,,
SRR034289,WGS,534,582238493,PRJNA36679,SAMN00014260,1330009104,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015865,454 GS FLX Titanium,4WG_DMEL.AQ_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,FLX01070124,,,
SRR034290,WGS,543,767094698,PRJNA36679,SAMN00014260,1753320240,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015865,454 GS FLX Titanium,4WG_DMEL.AQ_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,FLX01070128,,,
SRR034291,WGS,532,705944994,PRJNA36679,SAMN00014260,1604902119,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015865,454 GS FLX Titanium,4WG_DMEL.AQ_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-22T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,FLX09070238,,,
SRR034292,WGS,547,615002314,PRJNA36679,SAMN00014260,1367946674,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015865,454 GS FLX Titanium,4WG_DMEL.AQ_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,FLX09070238,,,
SRR034293,WGS,547,743544125,PRJNA36679,SAMN00014260,1705279815,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015865,454 GS FLX Titanium,4WG_DMEL.AQ_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,FLX10070254,,,
SRR034294,WGS,550,708314661,PRJNA36679,SAMN00014261,1589214683,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015866,454 GS FLX Titanium,4WG_DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,FLX09070242,,,
SRR034295,WGS,553,618532480,PRJNA36679,SAMN00014261,1387711488,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015866,454 GS FLX Titanium,4WG_DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,FLX01070124,,,
SRR034296,WGS,551,661372297,PRJNA36679,SAMN00014261,1491570164,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015866,454 GS FLX Titanium,4WG_DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,FLX10070254,,,
SRR034297,WGS,575,703146021,PRJNA36679,SAMN00014261,1566206607,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015866,454 GS FLX Titanium,4WG_DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,FLX09070242,,,
SRR034298,WGS,554,355413686,PRJNA36679,SAMN00014261,797692307,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX015866,454 GS FLX Titanium,4WG_DMEL.AR_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-21T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,FLX10070254,,,
SRR034662,WGS,532,704813940,PRJNA36679,SAMN00014243,1609939427,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX016134,454 GS FLX Titanium,4WG_DMEL.BB_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-25T00:00:00Z,BCM-DGRP705,SRP000694,DGRP-705,BCM,FLX01070128,,,
SRR034663,WGS,544,693309255,PRJNA36679,SAMN00014243,1564515246,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX016134,454 GS FLX Titanium,4WG_DMEL.BB_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-25T00:00:00Z,BCM-DGRP705,SRP000694,DGRP-705,BCM,FLX01070128,,,
SRR034664,WGS,536,646716189,PRJNA36679,SAMN00014243,1468821898,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX016134,454 GS FLX Titanium,4WG_DMEL.BB_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-25T00:00:00Z,BCM-DGRP705,SRP000694,DGRP-705,BCM,FLX10070252,,,
SRR034665,WGS,561,192217939,PRJNA36679,SAMN00014243,426918267,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX016134,454 GS FLX Titanium,4WG_DMEL.BB_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-25T00:00:00Z,BCM-DGRP705,SRP000694,DGRP-705,BCM,FLX09070240,,,
SRR034666,WGS,539,743835396,PRJNA36679,SAMN00014243,1666283221,BCM,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX016134,454 GS FLX Titanium,4WG_DMEL.BB_000sA,SINGLE,RANDOM,GENOMIC,Drosophila melanogaster,LS454,2010-01-25T00:00:00Z,BCM-DGRP705,SRP000694,DGRP-705,BCM,FLX10070252,,,
